CODE;SUBCODE;X;Y;Z;RFLNAAM;DIJKPAAL;Afstand Profielpunten
999;999;159624.94216;424242.23690;5.507600;AD645M00;;
999;999;159625.04618;424243.23147;5.493500;AD645M00;;
999;999;159625.15020;424244.22605;5.517100;AD645M00;;
999;999;159625.25422;424245.22062;5.515700;AD645M00;;
999;999;159625.35824;424246.21520;5.527700;AD645M00;;
999;999;159625.46225;424247.20977;5.531200;AD645M00;;
999;999;159625.56627;424248.20435;5.565400;AD645M00;;
999;999;159625.67029;424249.19893;5.586300;AD645M00;;
999;999;159625.77431;424250.19350;5.576000;AD645M00;;
999;999;159625.87833;424251.18808;5.583900;AD645M00;;
999;999;159625.98234;424252.18265;5.599300;AD645M00;;
999;999;159626.08636;424253.17723;5.611600;AD645M00;;
999;999;159626.19038;424254.17180;5.656600;AD645M00;;
999;999;159626.29440;424255.16638;5.670000;AD645M00;;
999;999;159626.39842;424256.16095;5.686800;AD645M00;;
999;999;159626.50243;424257.15553;5.758600;AD645M00;;
999;999;159626.60645;424258.15010;5.751100;AD645M00;;
999;999;159626.71047;424259.14468;5.796600;AD645M00;;
999;999;159626.81449;424260.13926;5.815400;AD645M00;;
999;999;159626.91851;424261.13383;5.861500;AD645M00;;
999;999;159627.02253;424262.12841;5.900000;AD645M00;;
999;999;159627.12654;424263.12298;5.945900;AD645M00;;
999;999;159627.23056;424264.11756;5.985300;AD645M00;;
999;999;159627.33458;424265.11213;999999.000000;AD645M00;;
999;999;159627.43860;424266.10671;999999.000000;AD645M00;;
999;999;159627.54262;424267.10128;999999.000000;AD645M00;;
999;999;159627.64663;424268.09586;999999.000000;AD645M00;;
999;999;159627.75065;424269.09043;6.220000;AD645M00;;
999;999;159627.85467;424270.08501;6.153900;AD645M00;;
999;999;159627.95869;424271.07958;999999.000000;AD645M00;;
999;999;159628.06271;424272.07416;6.150400;AD645M00;;
