CODE;SUBCODE;X;Y;Z;RFLNAAM
99;999;75324.69;437286.7;0;RB0.03
99;999;75324.28;437286.42;0;RB0.03
99;999;75323.86;437286.14;0;RB0.03
99;999;75323.45;437285.85;0;RB0.03
99;999;75323.04;437285.57;0;RB0.03
99;999;75322.62;437285.29;0;RB0.03
99;999;75322.21;437285.01;0;RB0.03
99;999;75321.8;437284.73;0;RB0.03
99;999;75321.39;437284.44;0;RB0.03
99;999;75320.97;437284.16;0;RB0.03
99;999;75320.56;437283.88;0;RB0.03
99;999;75320.15;437283.6;0;RB0.03
99;999;75319.73;437283.32;0;RB0.03
99;999;75319.32;437283.04;0;RB0.03
99;999;75318.91;437282.75;0;RB0.03
99;999;75318.49;437282.47;0;RB0.03
99;999;75318.08;437282.19;0;RB0.03
99;999;75317.67;437281.91;0;RB0.03
99;999;75317.26;437281.63;0;RB0.03
99;999;75316.84;437281.34;0;RB0.03
99;999;75316.43;437281.06;0;RB0.03
99;999;75316.02;437280.78;0;RB0.03
99;999;75315.6;437280.5;0;RB0.03
99;999;75315.19;437280.22;0;RB0.03
99;999;75314.78;437279.94;0;RB0.03
99;999;75314.36;437279.65;0;RB0.03
99;999;75313.95;437279.37;0;RB0.03
99;999;75313.54;437279.09;0;RB0.03
99;999;75313.13;437278.81;0;RB0.03
99;999;75312.71;437278.53;0;RB0.03
99;999;75312.3;437278.24;0;RB0.03
99;999;75311.89;437277.96;0;RB0.03
99;999;75311.47;437277.68;0;RB0.03
99;999;75311.06;437277.4;0;RB0.03
99;999;75310.65;437277.12;0;RB0.03
99;999;75310.23;437276.84;0;RB0.03
99;999;75309.82;437276.55;0;RB0.03
99;999;75309.41;437276.27;0;RB0.03
99;999;75309;437275.99;0;RB0.03
99;999;75308.58;437275.71;0;RB0.03
99;999;75308.17;437275.43;0;RB0.03
99;999;75307.76;437275.14;0;RB0.03
99;999;75307.34;437274.86;0;RB0.03
99;999;75306.93;437274.58;0;RB0.03
99;999;75306.52;437274.3;-1.33;RB0.03
99;999;75306.1;437274.02;-1.33;RB0.03
99;999;75305.69;437273.74;0;RB0.03
99;999;75305.28;437273.45;-1.34;RB0.03
99;999;75304.86;437273.17;-1.34;RB0.03
99;999;75304.45;437272.89;-1.33;RB0.03
99;999;75304.04;437272.61;-1.33;RB0.03
99;999;75303.63;437272.33;-1.33;RB0.03
99;999;75303.21;437272.04;-1.33;RB0.03
99;999;75302.8;437271.76;-1.33;RB0.03
99;999;75302.39;437271.48;-1.32;RB0.03
99;999;75301.97;437271.2;-1.32;RB0.03
99;999;75301.56;437270.92;-1.31;RB0.03
99;999;75301.15;437270.64;-1.3;RB0.03
99;999;75300.73;437270.35;-1.3;RB0.03
99;999;75300.32;437270.07;0;RB0.03
99;999;75299.91;437269.79;-1.28;RB0.03
99;999;75299.5;437269.51;-1.27;RB0.03
99;999;75299.08;437269.23;-1.27;RB0.03
